start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month_d1,sunset_time,hours_after_sunset_d1,season,date_d1,key_time,time,month_d2,hours_after_sunset_d2,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,date_d2,merge_time,hours_after_sunset,rat_influence,risk_reward_ratio,season_0_x_rat_arrival,season_1_x_rat_arrival,rat_influence_log,risk_reward_ratio_log
2017-12-28 19:44:00,5.0,rat_and_others,2017-12-28 19:35:00,2017-12-28 19:46:00,521.0,1.0,0.0,0,2017-12-28 16:44:00,3.0,0,12/28/2017,2017-12-28 19:44:00,2017-12-28 19:44:00,0,3.0,23.0,3.07696661,0.5104166668750001,1.0,12/28/2017,2017-12-28 19:44:00,3.0,2.5,1.230786644,1.0,0.0,1.252762968495368,0.8023542784255057
2017-12-28 19:45:00,15.0,pick_and_others,2017-12-28 19:35:00,2017-12-28 19:46:00,564.0,1.0,1.0,0,2017-12-28 16:44:00,3.0,0,12/28/2017,2017-12-28 19:45:00,,,,,,,,,2017-12-28 19:45:00,,0.0,,0.0,0.0,0.0,
2017-12-28 19:46:00,24.0,rat,2017-12-28 19:35:00,2017-12-28 19:46:00,607.0,1.0,0.0,0,2017-12-28 16:44:00,3.0,0,12/28/2017,2017-12-28 19:46:00,,,,,,,,,2017-12-28 19:46:00,,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 20:14:00,2017-12-28 20:14:00,0,3.5,32.0,3.0,0.0,0.0,12/28/2017,2017-12-28 20:14:00,3.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 20:44:00,2017-12-28 20:44:00,0,4.0,29.0,3.0,0.0,0.0,12/28/2017,2017-12-28 20:44:00,4.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 21:14:00,2017-12-28 21:14:00,0,4.5,50.0,3.0,0.0,0.0,12/28/2017,2017-12-28 21:14:00,4.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 21:44:00,2017-12-28 21:44:00,0,5.0,49.0,2.951877314,0.0,0.0,12/28/2017,2017-12-28 21:44:00,5.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 22:14:00,2017-12-28 22:14:00,0,5.5,57.0,2.540983607,0.0,0.0,12/28/2017,2017-12-28 22:14:00,5.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 22:44:00,2017-12-28 22:44:00,0,6.0,66.0,2.090428345,0.0,0.0,12/28/2017,2017-12-28 22:44:00,6.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 23:14:00,2017-12-28 23:14:00,0,6.5,52.0,2.0,0.0,0.0,12/28/2017,2017-12-28 23:14:00,6.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 23:44:00,2017-12-28 23:44:00,0,7.0,42.0,2.0,0.0,0.0,12/28/2017,2017-12-28 23:44:00,7.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 00:14:00,2017-12-29 00:14:00,0,7.5,29.0,2.0,0.0,0.0,12/29/2017,2017-12-29 00:14:00,7.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 00:44:00,2017-12-29 00:44:00,0,8.0,38.0,1.951075269,0.0,0.0,12/29/2017,2017-12-29 00:44:00,8.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 01:14:00,2017-12-29 01:14:00,0,8.5,44.0,1.533333333,0.0,0.0,12/29/2017,2017-12-29 01:14:00,8.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 01:44:00,2017-12-29 01:44:00,0,9.0,23.0,1.082258065,0.0,0.0,12/29/2017,2017-12-29 01:44:00,9.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 02:14:00,2017-12-29 02:14:00,0,9.5,25.0,1.0,0.0,0.0,12/29/2017,2017-12-29 02:14:00,9.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 02:44:00,2017-12-29 02:44:00,0,10.0,31.0,0.947076613,0.0,0.0,12/29/2017,2017-12-29 02:44:00,10.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 03:14:00,2017-12-29 03:14:00,0,10.5,24.0,0.546875,0.0,0.0,12/29/2017,2017-12-29 03:14:00,10.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 03:44:00,2017-12-29 03:44:00,0,11.0,18.0,0.15625,0.5104166668750001,1.0,12/29/2017,2017-12-29 03:44:00,11.0,0.9,0.1736111111111111,1.0,0.0,0.6418538861723948,0.16008541534707285
,,,,,,,,,,,0,,2017-12-29 04:14:00,2017-12-29 04:14:00,0,11.5,3.0,0.0,0.0,0.0,12/29/2017,2017-12-29 04:14:00,11.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 04:44:00,2017-12-29 04:44:00,0,12.0,6.0,0.0,0.0,0.0,12/29/2017,2017-12-29 04:44:00,12.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 14:45:00,2017-12-29 14:45:00,0,-2.0,7.0,4.0,0.0,0.0,12/29/2017,2017-12-29 14:45:00,-2.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 15:15:00,2017-12-29 15:15:00,0,-1.5,1.0,4.0,0.0,0.0,12/29/2017,2017-12-29 15:15:00,-1.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 15:45:00,2017-12-29 15:45:00,0,-1.0,1.0,4.0,0.0,0.0,12/29/2017,2017-12-29 15:45:00,-1.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 16:15:00,2017-12-29 16:15:00,0,-0.5,6.0,4.0,0.0,0.0,12/29/2017,2017-12-29 16:15:00,-0.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 16:45:00,2017-12-29 16:45:00,0,0.0,7.0,4.0,0.0,0.0,12/29/2017,2017-12-29 16:45:00,0.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 17:15:00,2017-12-29 17:15:00,0,0.5,14.0,4.0,0.0,0.0,12/29/2017,2017-12-29 17:15:00,0.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 17:45:00,2017-12-29 17:45:00,0,1.0,14.0,4.0,0.0,0.0,12/29/2017,2017-12-29 17:45:00,1.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 18:15:00,2017-12-29 18:15:00,0,1.5,9.0,4.0,0.5104166668750001,1.0,12/29/2017,2017-12-29 18:15:00,1.5,6.783333333,0.5896805897095666,1.0,0.0,2.05198469540397,0.4635331090765337
,,,,,,,,,,,0,,2017-12-29 18:45:00,2017-12-29 18:45:00,0,2.0,19.0,3.949388209,0.0,0.0,12/29/2017,2017-12-29 18:45:00,2.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 19:15:00,2017-12-29 19:15:00,0,2.5,26.0,3.517241379,0.0,0.0,12/29/2017,2017-12-29 19:15:00,2.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 19:45:00,2017-12-29 19:45:00,0,3.0,29.0,3.066740823,0.0,0.0,12/29/2017,2017-12-29 19:45:00,3.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 20:15:00,2017-12-29 20:15:00,0,3.5,15.0,3.0,0.0,0.0,12/29/2017,2017-12-29 20:15:00,3.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 20:45:00,2017-12-29 20:45:00,0,4.0,67.0,3.0,0.0,0.0,12/29/2017,2017-12-29 20:45:00,4.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 21:15:00,2017-12-29 21:15:00,0,4.5,56.0,3.0,0.0,0.0,12/29/2017,2017-12-29 21:15:00,4.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 21:45:00,2017-12-29 21:45:00,0,5.0,45.0,3.0,0.0,0.0,12/29/2017,2017-12-29 21:45:00,5.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 22:15:00,2017-12-29 22:15:00,0,5.5,60.0,3.0,0.0,0.0,12/29/2017,2017-12-29 22:15:00,5.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 22:45:00,2017-12-29 22:45:00,0,6.0,59.0,3.0,0.0,0.0,12/29/2017,2017-12-29 22:45:00,6.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-29 23:15:00,2017-12-29 23:15:00,0,6.5,40.0,3.0,0.5104166668750001,1.0,12/29/2017,2017-12-29 23:15:00,6.5,8.883333333,0.3377110694310586,1.0,0.0,2.2908498367418977,0.2909599962579244
,,,,,,,,,,,0,,2017-12-29 23:45:00,2017-12-29 23:45:00,0,7.0,49.0,2.939516129,0.0,0.0,12/29/2017,2017-12-29 23:45:00,7.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-30 00:15:00,2017-12-30 00:15:00,0,7.5,42.0,2.53125,0.0,0.0,12/30/2017,2017-12-30 00:15:00,7.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-30 00:45:00,2017-12-30 00:45:00,0,8.0,39.0,2.057747696,0.0,0.0,12/30/2017,2017-12-30 00:45:00,8.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-30 01:15:00,2017-12-30 01:15:00,0,8.5,47.0,1.535714286,0.0,0.0,12/30/2017,2017-12-30 01:15:00,8.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-30 01:45:00,2017-12-30 01:45:00,0,9.0,30.0,1.069124424,0.0,0.0,12/30/2017,2017-12-30 01:45:00,9.0,0.0,,0.0,0.0,0.0,
