start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,date
2018-02-09 03:31:00,1.0,rat,9/02/2018 3:28,9/02/2018 3:33,146,1,0,2,8/02/2018 17:20,10.0,0,2018-02-09
2018-02-09 03:32:00,21.0,rat,9/02/2018 3:28,9/02/2018 3:33,211,1,0,2,8/02/2018 17:20,10.0,0,2018-02-09
2018-02-09 03:32:00,9.0,pick,9/02/2018 3:28,9/02/2018 3:33,246,0,1,2,8/02/2018 17:20,10.0,0,2018-02-09
2018-02-13 03:44:00,1.0,rat,13/02/2018 3:43,13/02/2018 3:45,77,1,0,2,12/02/2018 17:24,10.5,0,2018-02-13
2018-02-13 03:50:00,3.0,fast,13/02/2018 3:49,13/02/2018 3:50,59,0,1,2,12/02/2018 17:24,10.5,0,2018-02-13
2018-02-14 22:05:00,1.0,rat,14/02/2018 22:04,14/02/2018 22:12,89,1,0,2,14/02/2018 17:26,4.5,0,2018-02-14
2018-02-14 22:08:00,2.0,rat,14/02/2018 22:04,14/02/2018 22:12,259,1,0,2,14/02/2018 17:26,4.5,0,2018-02-14
2018-02-14 22:11:00,4.0,rat,14/02/2018 22:04,14/02/2018 22:12,470,1,0,2,14/02/2018 17:26,5.0,0,2018-02-14
2018-02-14 22:46:00,2.0,rat,14/02/2018 22:43,14/02/2018 22:52,187,1,0,2,14/02/2018 17:26,5.5,0,2018-02-14
2018-02-14 22:46:00,1.0,rat,14/02/2018 22:43,14/02/2018 22:52,204,1,0,2,14/02/2018 17:26,5.5,0,2018-02-14
2018-02-14 22:50:00,2.0,rat,14/02/2018 22:43,14/02/2018 22:52,420,1,0,2,14/02/2018 17:26,5.5,0,2018-02-14
2018-02-14 22:50:00,9.0,rat,14/02/2018 22:43,14/02/2018 22:52,434,1,0,2,14/02/2018 17:26,5.5,0,2018-02-14
2018-02-14 22:51:00,0.061201372,rat,14/02/2018 22:43,14/02/2018 22:52,512,1,0,2,14/02/2018 17:26,5.5,0,2018-02-14
2018-02-14 22:52:00,1.0,rat,14/02/2018 22:43,14/02/2018 22:52,518,1,0,2,14/02/2018 17:26,5.5,0,2018-02-14
2018-02-14 03:11:00,31.0,pick,14/02/2018 3:02,14/02/2018 3:11,499,0,1,2,13/02/2018 17:25,10.0,0,2018-02-14
2018-02-14 05:30:00,1.0,rat,14/02/2018 5:26,14/02/2018 5:34,225,1,0,2,13/02/2018 17:25,12.0,0,2018-02-14
2018-02-15 18:21:00,0.050105814,fast,15/02/2018 18:20,15/02/2018 18:28,54,0,1,2,15/02/2018 17:26,1.0,0,2018-02-15
2018-02-15 19:31:00,1.0,fast,15/02/2018 19:30,15/02/2018 19:31,30,0,1,2,15/02/2018 17:26,2.0,0,2018-02-15
2018-02-15 19:31:00,0.085595674,attack_rat,15/02/2018 19:30,15/02/2018 19:31,71,1,0,2,15/02/2018 17:26,2.0,0,2018-02-15
2018-02-15 18:52:00,6.0,bat,15/02/2018 18:49,15/02/2018 18:55,179,1,0,2,15/02/2018 17:26,1.5,0,2018-02-15
2018-02-15 18:52:00,6.0,pick,15/02/2018 18:49,15/02/2018 18:55,201,0,1,2,15/02/2018 17:26,1.5,0,2018-02-15
2018-02-15 18:54:00,1.0,rat,15/02/2018 18:49,15/02/2018 18:55,321,1,0,2,15/02/2018 17:26,1.5,0,2018-02-15
2018-02-04 18:33:00,3.0,bat_and_rat,4/02/2018 18:32,4/02/2018 18:50,77,1,0,2,4/02/2018 17:17,1.5,0,2018-02-04
2018-02-03 17:51:00,29.0,rat,3/02/2018 17:51,3/02/2018 17:51,22,1,0,2,3/02/2018 17:16,0.5,0,2018-02-03
2018-02-02 18:30:00,4.0,rat,2/02/2018 18:30,2/02/2018 18:30,3,1,0,2,2/02/2018 17:15,1.5,0,2018-02-02
2018-02-16 22:18:00,2.0,rat,16/02/2018 22:18,16/02/2018 22:22,25,1,0,2,16/02/2018 17:27,5.0,0,2018-02-16
2018-02-16 22:21:00,16.0,rat,16/02/2018 22:18,16/02/2018 22:22,181,1,0,2,16/02/2018 17:27,5.0,0,2018-02-16
2018-02-16 22:21:00,2.0,rat,16/02/2018 22:18,16/02/2018 22:22,201,1,0,2,16/02/2018 17:27,5.0,0,2018-02-16
2018-02-16 22:21:00,1.0,fast,16/02/2018 22:18,16/02/2018 22:22,206,0,1,2,16/02/2018 17:27,5.0,0,2018-02-16
2018-02-16 22:22:00,0.07570842,rat_attack,16/02/2018 22:18,16/02/2018 22:22,250,1,0,2,16/02/2018 17:27,5.0,0,2018-02-16
2018-02-19 00:33:00,0.057540536,fast,19/02/2018 0:31,19/02/2018 0:34,157,0,1,2,18/02/2018 17:29,7.0,0,2018-02-19
2018-02-19 01:33:00,3.0,rat,19/02/2018 1:33,19/02/2018 1:33,6,1,0,2,18/02/2018 17:29,8.0,0,2018-02-19
2018-02-10 21:08:00,5.0,rat,10/02/2018 21:04,10/02/2018 21:11,222,1,0,2,10/02/2018 17:22,4.0,0,2018-02-10
2018-02-10 21:36:00,1.0,rat,10/02/2018 21:35,10/02/2018 21:36,68,1,0,2,10/02/2018 17:22,4.0,0,2018-02-10
2018-02-10 21:36:00,2.0,rat,10/02/2018 21:35,10/02/2018 21:36,75,1,0,2,10/02/2018 17:22,4.0,0,2018-02-10
2018-02-10 21:44:00,1.0,rat,10/02/2018 21:44,10/02/2018 21:51,6,1,0,2,10/02/2018 17:22,4.5,0,2018-02-10
2018-02-10 21:45:00,4.0,rat,10/02/2018 21:44,10/02/2018 21:51,92,1,0,2,10/02/2018 17:22,4.5,0,2018-02-10
2018-02-10 21:46:00,13.0,rat,10/02/2018 21:44,10/02/2018 21:51,137,1,0,2,10/02/2018 17:22,4.5,0,2018-02-10
2018-02-10 21:46:00,1.0,rat,10/02/2018 21:44,10/02/2018 21:51,155,1,0,2,10/02/2018 17:22,4.5,0,2018-02-10
2018-02-10 21:46:00,2.0,fast,10/02/2018 21:44,10/02/2018 21:51,158,0,1,2,10/02/2018 17:22,4.5,0,2018-02-10
2018-02-10 21:47:00,1.0,rat,10/02/2018 21:44,10/02/2018 21:51,224,1,0,2,10/02/2018 17:22,4.5,0,2018-02-10
2018-02-11 00:32:00,1.0,rat,11/02/2018 0:31,11/02/2018 0:33,35,1,0,2,10/02/2018 17:22,7.0,0,2018-02-11
2018-02-11 01:09:00,5.0,pick,11/02/2018 1:09,11/02/2018 1:10,7,0,1,2,10/02/2018 17:22,8.0,0,2018-02-11
2018-02-11 01:54:00,0.04438061,rat,11/02/2018 1:52,11/02/2018 1:58,105,1,0,2,10/02/2018 17:22,8.5,0,2018-02-11
2018-02-11 01:55:00,3.0,rat,11/02/2018 1:52,11/02/2018 1:58,132,1,0,2,10/02/2018 17:22,8.5,0,2018-02-11
2018-02-11 01:56:00,1.0,fast,11/02/2018 1:52,11/02/2018 1:58,242,0,1,2,10/02/2018 17:22,8.5,0,2018-02-11
2018-02-11 01:57:00,6.0,fast,11/02/2018 1:52,11/02/2018 1:58,269,0,1,2,10/02/2018 17:22,8.5,0,2018-02-11
2018-02-11 01:57:00,24.0,rat,11/02/2018 1:52,11/02/2018 1:58,286,1,0,2,10/02/2018 17:22,8.5,0,2018-02-11
2018-02-10 19:25:00,0.097399911,fast,10/02/2018 19:24,10/02/2018 19:25,13,0,1,2,10/02/2018 17:22,2.0,0,2018-02-10
2018-02-17 20:50:00,2.0,rat,17/02/2018 20:49,17/02/2018 20:51,20,1,0,2,17/02/2018 17:28,3.5,0,2018-02-17
2018-02-17 20:50:00,1.0,rat,17/02/2018 20:49,17/02/2018 20:51,35,1,0,2,17/02/2018 17:28,3.5,0,2018-02-17
2018-02-17 20:50:00,2.0,rat,17/02/2018 20:49,17/02/2018 20:51,42,1,0,2,17/02/2018 17:28,3.5,0,2018-02-17
2018-02-17 17:42:00,0.050211363,fast,17/02/2018 17:40,17/02/2018 17:43,139,0,1,2,17/02/2018 17:28,0.0,0,2018-02-17
2018-03-18 21:37:00,3.0,fast,18/03/2018 21:37,18/03/2018 21:40,2,0,1,3,18/03/2018 17:50,4.0,1,2018-03-18
2018-03-18 21:38:00,2.0,fast,18/03/2018 21:37,18/03/2018 21:40,73,0,1,3,18/03/2018 17:50,4.0,1,2018-03-18
2018-03-18 21:39:00,1.0,fast,18/03/2018 21:37,18/03/2018 21:40,105,0,1,3,18/03/2018 17:50,4.0,1,2018-03-18
2018-03-18 21:39:00,2.0,fast,18/03/2018 21:37,18/03/2018 21:40,130,0,1,3,18/03/2018 17:50,4.0,1,2018-03-18
2018-03-29 00:47:00,4.0,pick,29/03/2018 0:46,29/03/2018 0:55,71,0,1,3,28/03/2018 18:57,6.0,1,2018-03-29
2018-03-29 00:49:00,0.046019395,rat,29/03/2018 0:46,29/03/2018 0:55,192,1,0,3,28/03/2018 18:57,6.0,1,2018-03-29
2018-03-29 00:50:00,9.0,pick,29/03/2018 0:46,29/03/2018 0:55,220,0,1,3,28/03/2018 18:57,6.0,1,2018-03-29
2018-03-29 00:50:00,18.0,pick,29/03/2018 0:46,29/03/2018 0:55,239,0,1,3,28/03/2018 18:57,6.0,1,2018-03-29
2018-03-29 00:50:00,14.0,rat,29/03/2018 0:46,29/03/2018 0:55,250,1,0,3,28/03/2018 18:57,6.0,1,2018-03-29
