date,hours_after_sunset,risk,reward,bat_landing_to_food,seconds_after_rat_arrival,habit,food_availability,rat_arrival_number,bat_landing_number
2018-04-27,5.0,1,1,7.0,10,bat_pick_rat,2.483870968,1.0,65.0
2018-04-27,5.0,0,1,4.0,65,fast,2.483870968,1.0,65.0
2018-04-27,5.0,1,0,0.02018894,72,rat,2.483870968,1.0,65.0
2018-04-27,5.0,1,0,47.0,91,bat_and_rat,2.483870968,1.0,65.0
2018-04-27,5.0,1,0,35.0,129,bat,2.483870968,1.0,65.0
2018-04-27,5.0,1,1,13.0,138,bat_and_pick,2.483870968,1.0,65.0
2018-04-27,5.0,1,1,12.0,164,bat_and_pick,2.483870968,1.0,65.0
2018-04-27,5.0,1,1,20.0,183,bat_and_pick,2.483870968,1.0,65.0
2018-04-27,5.0,1,1,9.0,187,bat_and_pick,2.483870968,1.0,65.0
2018-04-27,5.0,1,1,21.0,199,bat_and_pick,2.483870968,1.0,65.0
2018-04-27,5.0,1,0,1.0,226,rat,2.483870968,1.0,65.0
2018-04-27,5.0,0,1,6.0,231,pick,2.483870968,1.0,65.0
2018-04-27,6.0,1,1,15.0,76,bat_and_pick,2.0,1.0,89.0
2018-04-27,6.0,1,0,3.0,85,bat_fight,2.0,1.0,89.0
2018-04-27,6.0,0,1,8.0,119,pick,2.0,1.0,89.0
2018-04-27,6.0,0,1,10.0,126,pick,2.0,1.0,89.0
2018-04-27,6.0,0,1,15.0,142,pick,2.0,1.0,89.0
2018-04-27,6.0,1,1,26.0,223,pick_and_all,2.0,1.0,89.0
2018-04-27,7.0,1,0,0.050962883,7,rat_and_bat,1.475409836,4.0,31.0
2018-04-27,7.0,0,1,5.0,47,pick,1.475409836,4.0,31.0
2018-04-27,7.0,0,1,3.0,140,fast,1.475409836,4.0,31.0
2018-04-27,7.0,0,1,13.0,246,pick,1.475409836,4.0,31.0
2018-04-27,7.0,1,0,3.0,318,rat,1.475409836,4.0,31.0
2018-04-27,7.0,1,1,0.09619989,366,rat_pick_and_bat,1.475409836,4.0,31.0
2018-04-27,7.0,1,0,0.063771569,368,rat,1.475409836,4.0,31.0
2018-04-27,7.0,0,1,0.081091814,537,pick,1.475409836,4.0,31.0
2018-04-27,7.5,0,1,2.0,62,fast,1.055526177,2.0,28.0
2018-04-27,7.5,0,1,2.0,660,fast,1.055526177,2.0,28.0
2018-04-27,7.5,0,1,0.032779517,784,fast,1.055526177,2.0,28.0
2018-04-27,7.5,0,1,10.0,811,pick,1.055526177,2.0,28.0
2018-04-27,7.5,0,1,22.0,825,pick,1.055526177,2.0,28.0
2018-04-27,7.5,1,1,0.068238813,857,pick_and_bat,1.055526177,2.0,28.0
2018-04-27,7.5,1,1,11.0,908,pick_and_bat,1.055526177,2.0,28.0
2018-04-27,7.5,0,1,1.0,17,fast,1.055526177,2.0,28.0
2018-04-27,7.5,0,1,2.0,22,fast,1.055526177,2.0,28.0
2018-04-27,8.0,1,0,0.042707344,17,rat_and_bat,1.0,2.0,28.0
2018-04-27,8.0,0,1,13.0,20,pick,1.0,2.0,28.0
2018-04-27,8.0,1,0,0.043905767,33,bat_and_rat,1.0,2.0,28.0
2018-04-27,8.0,0,1,1.0,99,fast,1.0,2.0,28.0
2018-04-27,8.0,1,0,0.076705397,142,rat,1.0,2.0,28.0
2018-04-27,8.5,0,1,0.040958086,38,fast,1.0,3.0,15.0
2018-04-27,8.5,1,0,0.056999457,159,bat_and_rat,1.0,3.0,15.0
2018-04-27,8.5,1,0,0.099530937,160,bat,1.0,3.0,15.0
2018-04-27,8.5,1,0,0.014419381,168,bat,1.0,3.0,15.0
2018-04-27,8.5,0,1,3.0,106,pick,1.0,3.0,15.0
2018-04-27,9.0,0,1,5.0,106,pick,1.0,2.0,7.0
2018-04-27,9.5,1,1,0.040564984,445,pick_and_rat,1.0,3.0,6.0
2018-04-26,3.0,1,1,16.0,183,bat_and_pick,3.0,2.0,79.0
2018-04-26,4.0,0,1,0.044489486,26,fast,3.0,0.0,57.0
2018-04-26,4.0,1,0,2.0,34,fight_rat,3.0,0.0,57.0
2018-04-27,7.5,0,1,1.0,570,fast,1.055526177,2.0,28.0
2018-04-27,8.0,0,1,3.0,140,fast,1.0,2.0,28.0
2018-04-19,0.0,0,1,0.051207358,75,fast,3.878136201,1.0,15.0
2018-04-19,0.0,0,1,1.0,167,fast,3.878136201,1.0,15.0
2018-04-19,0.5,0,1,1.0,230,fast,3.188172043,0.0,34.0
2018-04-19,0.5,1,0,5.0,547,rat,3.188172043,0.0,34.0
2018-04-19,2.5,1,0,0.039785341,220,rat,3.0,0.0,8.0
2018-04-19,2.5,0,1,3.0,487,pick,3.0,0.0,8.0
2018-04-19,2.5,1,0,2.0,493,rat,3.0,0.0,8.0
2018-04-19,3.5,1,0,4.0,22,rat,3.0,1.0,38.0
2018-04-19,3.5,1,0,1.0,472,rat,3.0,1.0,38.0
2018-04-20,5.0,0,1,12.0,185,pick,3.0,3.0,44.0
2018-04-20,5.0,0,0,39.0,155,both,3.0,3.0,44.0
2018-04-20,5.0,1,0,14.0,207,rat,3.0,3.0,44.0
2018-04-20,5.0,1,0,5.0,235,rat,3.0,3.0,44.0
2018-04-20,5.0,1,0,0.016181067,262,rat,3.0,3.0,44.0
2018-04-20,5.0,1,0,29.0,295,rat_and_bat,3.0,3.0,44.0
2018-04-20,5.0,1,0,3.0,320,rat_and_bat,3.0,3.0,44.0
2018-04-20,5.0,1,0,18.0,341,rat_and_bat,3.0,3.0,44.0
2018-04-20,5.0,1,0,11.0,508,rat,3.0,3.0,44.0
2018-04-20,5.0,0,1,1.0,579,fast,3.0,3.0,44.0
2018-04-20,5.0,0,1,0.093784466,673,fast,3.0,3.0,44.0
2018-04-20,5.0,0,1,0.019265878,697,fast,3.0,3.0,44.0
2018-04-20,5.0,0,1,1.0,711,fast,3.0,3.0,44.0
2018-04-20,5.0,0,1,6.0,809,fast,3.0,3.0,44.0
2018-04-20,5.0,1,0,10.0,825,rat,3.0,3.0,44.0
2018-04-20,5.0,0,1,0.058920205,863,fast,3.0,3.0,44.0
2018-04-20,7.0,0,1,0.024862202,39,fast,3.0,0.0,29.0
2018-04-20,7.0,0,1,1.0,41,fast,3.0,0.0,29.0
2018-04-20,7.0,1,0,10.0,65,rat,3.0,0.0,29.0
2018-04-20,7.0,0,1,1.0,84,fast,3.0,0.0,29.0
2018-04-20,7.0,0,1,1.0,122,fast,3.0,0.0,29.0
2018-04-20,7.0,0,1,0.014004332,141,fast,3.0,0.0,29.0
2018-04-20,7.0,1,0,7.0,164,rat,3.0,0.0,29.0
2018-04-20,7.0,0,1,7.0,216,pick,3.0,0.0,29.0
2018-04-20,7.5,1,0,3.0,210,rat,3.0,1.0,30.0
2018-04-20,7.5,1,0,6.0,235,rat,3.0,1.0,30.0
2018-04-20,7.5,0,1,4.0,269,pick,3.0,1.0,30.0
2018-04-20,7.5,0,1,5.0,303,pick,3.0,1.0,30.0
2018-04-20,8.5,0,1,4.0,180,fast,3.0,1.0,21.0
2018-04-20,8.5,0,1,4.0,467,fast,3.0,1.0,21.0
2018-04-20,8.5,0,1,10.0,512,pick,3.0,1.0,21.0
2018-04-20,8.5,1,0,10.0,521,rat,3.0,1.0,21.0
2018-04-20,8.5,0,1,2.0,547,fast,3.0,1.0,21.0
2018-04-20,8.5,0,1,1.0,573,fast,3.0,1.0,21.0
2018-04-20,8.5,0,1,3.0,591,fast,3.0,1.0,21.0
2018-04-20,8.5,0,1,3.0,621,pick,3.0,1.0,21.0
2018-04-20,9.0,0,1,3.0,330,fast,3.0,0.0,9.0
2018-04-20,9.0,0,1,0.068554286,487,fast,3.0,0.0,9.0
2018-04-20,9.0,0,1,3.0,522,pick,3.0,0.0,9.0
2018-04-21,0.5,1,0,4.0,24,rat,3.0756396,2.0,45.0
2018-04-21,0.5,0,1,1.0,17,fast,3.0756396,2.0,45.0
2018-04-21,1.0,1,1,20.0,108,pick_and_others,3.0,0.0,25.0
2018-04-21,1.0,1,0,9.0,130,rat,3.0,0.0,25.0
2018-04-21,1.0,1,1,54.0,474,pick_and_others,3.0,0.0,25.0
2018-04-21,3.5,0,1,1.0,7,fast,2.947076613,1.0,75.0
2018-04-21,3.5,0,1,25.0,22,pick,2.947076613,1.0,75.0
